,param_metric,param_n_neighbors,param_weights,params,mean_test_score,std_test_score,rank_test_score
155,euclidean,165,distance,"{'metric': 'euclidean', 'n_neighbors': 165, 'weights': 'distance'}",0.9782046502270892,0.001060994454577397,115
156,euclidean,171,uniform,"{'metric': 'euclidean', 'n_neighbors': 171, 'weights': 'uniform'}",0.971468481558459,0.0012440682842702032,236
157,euclidean,171,distance,"{'metric': 'euclidean', 'n_neighbors': 171, 'weights': 'distance'}",0.977967057440426,0.0010388876609140766,119
158,euclidean,177,uniform,"{'metric': 'euclidean', 'n_neighbors': 177, 'weights': 'uniform'}",0.9709672723733561,0.001134338602274327,240
159,euclidean,177,distance,"{'metric': 'euclidean', 'n_neighbors': 177, 'weights': 'distance'}",0.977700578468675,0.0008572937482672764,124
160,euclidean,184,uniform,"{'metric': 'euclidean', 'n_neighbors': 184, 'weights': 'uniform'}",0.9707313527067744,0.001326436745797064,242
161,euclidean,184,distance,"{'metric': 'euclidean', 'n_neighbors': 184, 'weights': 'distance'}",0.9774673805419919,0.0007033764904743069,130
162,euclidean,190,uniform,"{'metric': 'euclidean', 'n_neighbors': 190, 'weights': 'uniform'}",0.9704320589664368,0.0014703685264049976,245
163,euclidean,190,distance,"{'metric': 'euclidean', 'n_neighbors': 190, 'weights': 'distance'}",0.9772333005406327,0.000837949363973252,134
164,euclidean,196,uniform,"{'metric': 'euclidean', 'n_neighbors': 196, 'weights': 'uniform'}",0.9703284703050136,0.001416295350924179,248
165,euclidean,196,distance,"{'metric': 'euclidean', 'n_neighbors': 196, 'weights': 'distance'}",0.9769926943872062,0.0009256438827532597,138
166,euclidean,202,uniform,"{'metric': 'euclidean', 'n_neighbors': 202, 'weights': 'uniform'}",0.9699311416199781,0.0013155130019429876,253
167,euclidean,202,distance,"{'metric': 'euclidean', 'n_neighbors': 202, 'weights': 'distance'}",0.9767889986389017,0.0010302813930413407,142
168,euclidean,208,uniform,"{'metric': 'euclidean', 'n_neighbors': 208, 'weights': 'uniform'}",0.969668794482315,0.0012929287604162452,258
169,euclidean,208,distance,"{'metric': 'euclidean', 'n_neighbors': 208, 'weights': 'distance'}",0.976553206093902,0.0008701851679716643,146
170,euclidean,214,uniform,"{'metric': 'euclidean', 'n_neighbors': 214, 'weights': 'uniform'}",0.9696768035144376,0.0010788241810253134,256
171,euclidean,214,distance,"{'metric': 'euclidean', 'n_neighbors': 214, 'weights': 'distance'}",0.9763862988116354,0.0010144115688330041,149
172,euclidean,220,uniform,"{'metric': 'euclidean', 'n_neighbors': 220, 'weights': 'uniform'}",0.969278448541013,0.0013176543480322102,261
173,euclidean,220,distance,"{'metric': 'euclidean', 'n_neighbors': 220, 'weights': 'distance'}",0.9759502857499187,0.0007182802754033356,155
174,euclidean,226,uniform,"{'metric': 'euclidean', 'n_neighbors': 226, 'weights': 'uniform'}",0.9689820256912137,0.0012518022538839735,264
175,euclidean,226,distance,"{'metric': 'euclidean', 'n_neighbors': 226, 'weights': 'distance'}",0.9758500040531365,0.000728971813325383,159
176,euclidean,232,uniform,"{'metric': 'euclidean', 'n_neighbors': 232, 'weights': 'uniform'}",0.9688827331927772,0.0010810166381464525,266
177,euclidean,232,distance,"{'metric': 'euclidean', 'n_neighbors': 232, 'weights': 'distance'}",0.9756517226558443,0.0008119522452946628,163
178,euclidean,238,uniform,"{'metric': 'euclidean', 'n_neighbors': 238, 'weights': 'uniform'}",0.9686826278243907,0.0009678420903961293,268
179,euclidean,238,distance,"{'metric': 'euclidean', 'n_neighbors': 238, 'weights': 'distance'}",0.975483313278281,0.0009118710194563578,169
